,State,Post_Full_Name,Latitude,Longitude
198,Republic of Congo,U.S. Embassy in Brazzaville,-4.275335947394608,15.253996214556773
199,Romania,U.S. Embassy Bucharest,44.51469790431391,26.08420901522549
200,Russia,U.S. Embassy Moscow,55.756014,37.57947
201,Russia,U.S. Consulate General in Vladivostok,43.115336,131.909319
202,Russia,U.S. Consulate General in Yekaterinburg,56.833759,60.61001199999999
203,Rwanda,U.S. Embassy in Kigali,-1.937285398580675,30.077578350046895
204,Samoa,U.S. Embassy Apia,-13.832368052669494,-171.76823229865656
205,San Marino,U.S. Embassy in San Marino,41.906582,12.490769
206,Saudi Arabia,U.S. Embassy in Riyadh,24.68122498413883,46.61878331499943
207,Saudi Arabia,U.S. Consulate General in Dhahran,26.304454792343083,50.15211701444141
208,Saudi Arabia,U.S. Consulate General in Jeddah,21.526284675984353,39.16193271434716
209,Serbia,U.S. Embassy in Belgrade,44.77249378724876,20.45105495060411
210,Senegal,U.S. Embassy in Dakar,14.6953,-017.4439
211,Sierra Leone,U.S. Embassy in Freetown,8.451653993892794,-13.23203054992229
212,Singapore,U.S. Embassy Singapore,01.2894,103.8500
213,Slovakia,U.S. Embassy Bratislava,48.141287658882085,17.10578371527176
214,Slovenia,U.S. Embassy in Ljubljana,46.05241020192026,14.496689950651993
215,Somalia,U.S. Embassy in Somalia,02.0411,045.3426
216,South Sudan,U.S. Embassy in Juba,4.855650541647085,31.58386391452658
217,South Africa,U.S. Embassy Pretoria,-25.746111,028.188056
218,South Korea,U.S. Embassy Seoul,37.5139,126.9828
219,Sri Lanka,U.S. Embassy Colombo,6.913233,79.848618
220,Sudan,U.S. Embassy in Khartoum,15.526150789218434,32.60541621518638
221,Spain,U.S. Embassy in Madrid,40.4167,-003.7033
222,Suriname,U.S. Embassy in Paramaribo,21.403015973191792,-84.36444565058818
223,Sweden,U.S. Embassy in Stockholm,59.33347178166029,18.10333961607249
224,Switzerland,U.S. Embassy Bern,46.943433,7.438283
225,Switzerland,U.S. Virtual Mission Liechtenstein ,46.943433,7.438283
226,Tajikistan,U.S. Embassy in Dushanbe,38.579469073127456,68.70998205039008
227,Syria,U.S. Embassy in Damascus,33.5158,036.2939
228,Tanzania,U.S. Embassy in Dar es Salaam,-6.8,39.283333
229,Thailand,U.S. Embassy Bangkok,13.736756801296202,100.54449655012905
230,Thailand,U.S. Consulate General Chiang Mai,18.79412,98.998685
231,Timor-Leste,U.S. Embassy in Dili,-8.546046593826597,125.54820164983751
232,The Gambia,U.S. Embassy in Banjul,13.4399,-016.6775
233,Togo,U.S. Embassy in Lome,21.555755676518146,-56.219030065505436
234,Tonga,U.S. Embassy in Tonga,-18.116943887584664,178.43728564996175
235,Trinidad & Tobago,U.S. Embassy in Port of Spain,10.666667,-61.516667
236,Tunisia,U.S. Embassy Tunis,36.85042547993822,10.267989315205188
